Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
119,280.6499758912672,75.6274732378708,0.1978759765625,0.381103515625,0.0146484375,2584.0,1.0,36.0,1.0,0.0,1.0,1.0,0.1768798828125,Yes
120,127.07879943176124,57.80697193608974,0.0107421875,0.018798828125,0.002685546875,2584.0,0.00024644666367666066,36.0,0.00024644666367666066,0.0,0.00024644666367666066,0.00024644666367666066,0.009765625,Yes
121,130.1826770641601,177.81076966859047,0.0274658203125,0.048095703125,0.0068359375,2584.0,0.0005656407577128203,36.0,0.0005656407577128203,0.0,0.0005656407577128203,0.0005656407577128203,0.0469970703125,Yes
122,142.7931459840105,15.694238937458367,0.0068359375,0.01123046875,0.00244140625,2584.0,0.00028750306977731103,36.0,0.00028750306977731103,0.0,0.00028750306977731103,0.00028750306977731103,0.0064697265625,Yes
123,162.58405558693255,76.77139322014133,0.0128173828125,0.025146484375,0.00048828125,2584.0,0.00021484888726947527,36.0,0.00021484888726947527,0.0,0.00021484888726947527,0.00021484888726947527,0.09326171875,Yes
124,129.32608306290754,137.93734608659318,0.005859375,0.01123046875,0.00048828125,2584.0,0.0005498305341860366,36.0,0.0005498305341860366,0.0,0.0005498305341860366,0.0005498305341860366,0.007080078125,Yes
125,196.80962992346474,68.73930960349045,0.0054931640625,0.009765625,0.001220703125,2584.0,0.000530174968069964,36.0,0.000530174968069964,0.0,0.000530174968069964,0.000530174968069964,0.00634765625,Yes
126,185.88978548862167,31.609423222359965,0.010986328125,0.019775390625,0.002197265625,2584.0,0.00044126392818720776,36.0,0.00044126392818720776,0.0,0.00044126392818720776,0.00044126392818720776,0.0057373046875,Yes
127,228.3637412835176,22.52038077011836,0.0263671875,0.025146484375,0.027587890625,2584.0,0.0002525247527200689,36.0,0.0002525247527200689,0.0,0.0002525247527200689,0.0002525247527200689,0.025146484375,Yes
128,345.23827651150776,298.7468723834292,0.0108642578125,0.011474609375,0.01025390625,2584.0,0.00037466092965589954,36.0,0.00037466092965589954,0.0,0.00037466092965589954,0.00037466092965589954,0.01171875,Yes
